Dataset,Model,FID,MMD,Wasserstein,JS_Divergence,KS_Statistic,ACF_Similarity,PSD_Similarity,Composite_Score
humidity,vanilla_gan,1.7391557204526242,0.29350933,0.73851585,0.3454638696647247,0.4667916666666667,0.39270716535680644,0.9956696710542196,0.6215267508153653
humidity,wgan_gp,0.15006183300127554,0.05862494,0.17262095,0.04690080841841788,0.13916666666666663,0.32656572717440013,0.9939536081184581,0.6948222494577362
humidity,tts_gan,0.8496695816430563,0.19748197,0.51604253,0.4063731711932734,0.32126388888888885,0.5843647161022495,0.9892107763025707,0.5726270766505593
humidity,sig_wgan,4.862614466152471,0.55985206,0.8293136,0.3469613372759153,0.45902777777777776,0.4554782432547328,0.9864536886832972,0.5153680581464298
humidity,sisvae,2.0200757203564956,0.411788,0.7922993,0.4905409130659211,0.43606944444444445,0.37551353052547354,0.9957513193549618,0.4888076145042004
humidity,oscillatory_bifurcation_gan,3.2334789281480507,0.42540708,0.8819445,0.4704775495855174,0.5919305555555555,0.2584356095976707,0.9898262591998668,0.4297358352435155
