Model,humidity,Average
wgan_gp,0.6948222494577362,0.6948222494577362
vanilla_gan,0.6215267508153653,0.6215267508153653
tts_gan,0.5726270766505593,0.5726270766505593
sig_wgan,0.5153680581464298,0.5153680581464298
sisvae,0.4888076145042004,0.4888076145042004
oscillatory_bifurcation_gan,0.4297358352435155,0.4297358352435155
